id,qualification,preferred,skills
149735,"['개발', 'SPA', 'RESTFUL API', 'HTML', '웹 개발', '최적화', 'ANGULARJS', 'VUEJS', 'JAVASCRIPT', 'CSS']",['개발'],"['GIT', 'SQL', 'AWS', 'NOSQL', 'SPRING FRAMEWORK']"
153107,"['API', 'SPA', 'DJANGO', 'GIT', '설계', 'AWS', 'JSON', 'AJAX', 'ANGULAR', 'REST', 'JAVASCRIPT', '관리', 'REACT']",[],"['GIT', 'ANDROID', 'EXPRESSJS', 'IOS', 'LINUX', 'REACT', 'RUBY ON RAILS', 'VUEJS', 'CSS', 'JAVA', 'JAVASCRIPT', 'AWS', 'JQUERY', 'DOCKER', 'POSTGRESQL', 'NODEJS', 'FLUTTER']"
132580,"['SQL', '개발', 'ORACLE']","['개발', '설계', 'JAVA', 'ORACLE', '프로세스 개선']","['C#', 'HTML', 'JAVA', 'JAVASCRIPT', 'PYTHON', 'JQUERY']"
121213,"['개발', 'API']","['API', 'CMS']","['C / C++', 'AWS']"
154195,"['개발', 'API', '최적화', 'MYSQL']",[],"['GITHUB', 'REACT', 'CSS', 'JAVASCRIPT', 'REDUX']"
148428,"['개발', '설계', 'RDBMS', 'MYSQL']","['개발', 'AWS', 'KUBERNETES']","['GIT', 'GITHUB', 'ANDROID', 'AZURE', 'IOS', 'LINUX', 'MYSQL', 'REACT', 'C / C++', 'HTML', 'JAVA', 'JAVASCRIPT', 'KOTLIN', 'NODE.JS', 'OBJECTIVEC', 'PHP', 'PYTHON', 'SQL', 'SWIFT', 'AWS', 'C++', 'REST', 'ISO', 'DOCKER', 'SHELL SCRIPTING', 'SPRING FRAMEWORK', 'JPA', 'FLUTTER', 'KUBERNETES']"
163114,"['개발', 'GIT', 'AWS', 'HTML5', 'CSS']","['일본어', '최적화']","['GIT', 'AZURE', 'LINUX', 'MYSQL', 'HTML', 'JAVASCRIPT', 'PYTHON', 'CSS3', 'ES6']"
160720,"['개발', 'PYTHON']",['PYTHON'],"['REACT', 'TYPESCRIPT', 'AWS', 'RESTFUL API', 'VUE.JS']"
142432,"['개발', 'HTML5', 'JAVASCRIPT', 'CSS']",['개발'],"['HTML', 'JAVASCRIPT', 'CSS3']"
164766,"['R', 'PYTHON', 'PYTORCH']","['수학', 'ML']","['GIT', 'GITHUB', 'MYSQL', 'HTML', 'PYTHON', 'SQL', 'AWS', 'DOCKER']"
