Key,Kalue
158527,"['MOBILE APP DESIGN', 'ANDROID', 'IOS', '앱 서버', 'REACT NATIVE']"
157501,
125677,"['OBJECTIVEC', 'SWIFT', 'RX']"
145745,"['GIT', 'LINUX', 'MYSQL', 'JAVASCRIPT', 'SQL', 'TYPESCRIPT', 'AWS', 'NEST.JS']"
136458,"['FLASK', 'PYTORCH', 'TENSORFLOW', 'PYTHON', 'DATA ANALYSIS', 'API 개발', 'FASTAPI', 'ML']"
131064,"['MATLAB', 'C#', 'JAVA', 'C', '소프트웨어 개발', 'C++']"
159845,"['GITHUB', 'WEBGL', 'NODE.JS', 'AWS', 'C++', 'DOCKER', 'ELASTICSEARCH', 'GOOGLE APPS', 'QT', 'REACT.JS', 'NOTION', 'NEXT.JS', 'NEST.JS']"
53890,"['GIT', 'JIRA', 'PYTORCH', 'REACT', 'TENSORFLOW', 'JAVASCRIPT', 'SQL', 'AWS', 'CUDA', 'OPENCV', 'ROS', 'RASPBERRY PI']"
71124,"['GIT', 'MYSQL', 'REACT', 'NODE.JS', 'TYPESCRIPT', 'POSTGRESQL', 'ORM']"
129878,
159212,
131432,"['LINUX', 'PYTORCH', 'PYTHON', 'C']"
146865,"['REACT', 'VUEJS', 'CSS', 'JAVASCRIPT', 'HTML5', 'JPA', 'JSTL', 'REACT.JS']"
69885,
95777,
149542,"['C / C++', 'C#', 'JAVA', 'PYTHON', 'OOP', 'C++', '검증', '임베디드 소프트웨어', 'SPRING FRAMEWORK', '테스트 실행', 'JPA', 'SIMULINK']"
161836,"['REACT', 'JAVASCRIPT', 'JSP', 'NODEJS', 'VUE.JS']"
112209,"['ANGULARJS', 'REACT', 'VUEJS', 'CSS', 'JAVASCRIPT', 'TYPESCRIPT', 'HTML5', 'NEXT.JS']"
148437,"['GIT', 'GITHUB', 'ANDROID', 'AZURE', 'IOS', 'LINUX', 'MYSQL', 'REACT', 'C / C++', 'HTML', 'JAVA', 'JAVASCRIPT', 'KOTLIN', 'NODE.JS', 'OBJECTIVEC', 'PHP', 'PYTHON', 'SQL', 'SWIFT', 'AWS', 'C++', 'REST', 'ISO', 'DOCKER', 'SHELL SCRIPTING', 'SPRING FRAMEWORK', 'JPA', 'FLUTTER', 'KUBERNETES']"
152647,"['GIT', 'GITHUB', 'MATLAB', 'LINUX', 'REACT', 'PHP', 'PYTHON', 'C', 'AWS', 'C++', 'SPRING FRAMEWORK', 'EMBEDDED LINUX', 'ROS']"
150024,"['.NET', 'C#', 'CSS', 'HTML', 'JAVASCRIPT', 'MVC', 'MSSQL']"
125378,"['GITHUB', 'LINUX', 'DOCKER', 'POSTGRESQL', 'SPRING FRAMEWORK', 'GRADLE', 'SPRING BOOT']"
162028,"['PHP', 'MSSQL', 'RESTFUL API']"
156999,"['NLP', 'ML']"
155879,
