Key,Value
144301,"['Git', 'ExpressJS', 'Linux', 'MySQL', 'JavaScript', 'NodeJS', 'CentOS', 'ORM', 'Ubuntu']"
93307,"['SAP', 'SAP ERP', 'SAP 구현', 'SAP SD', 'SAP MM', 'SAP FICO', 'SAP FI', 'SAP HR']"
157106,
157427,"['Zeplin', 'Confluence', 'Git', 'Github', 'JIRA', 'Slack', 'React', 'React Native', 'Figma', 'Notion']"
83608,"['Git', 'MySQL', 'Redis', 'Java', 'Kotlin', 'Jenkins', 'Docker', 'ElasticSearch', 'Gradle', 'JPA', 'Nginx', 'Spring Boot']"
51850,"['Linux', 'HTML', 'JavaScript', 'PHP', 'SQL']"
105058,"['MySQL', 'React', 'Swift', 'MVVM', 'RDBMS', 'Rx', 'Flutter']"
164509,"['Node.js', 'TypeScript', 'AWS']"
161398,
162643,"['Linux', 'C / C++', 'Python', 'C++', '인터페이스', '펌웨어', 'WPF', 'RTOS', 'Embedded Linux', 'Qt', 'MFC']"
148848,"['Linux', 'VueJS', 'C / C++', 'C#', 'CSS', 'JavaScript', 'Python', 'Docker', 'PostgreSQL', 'NodeJS', 'MFC', 'Spring Boot', '전자정부프레임워크']"
145558,"['Git', 'Github', 'React', 'VueJS', 'Java', 'AWS', 'Docker', 'Spring Framework', 'JPA', 'Spring Boot']"
113536,
152981,['Github']
158621,
155151,
93006,"['Git', 'Github', 'Ruby on Rails', 'HTML', 'Node.js', 'Python', 'SQL', 'AWS', 'React.js', 'React Native']"
158790,
145497,
163690,"['Azure', 'Pytorch', 'Python', 'AWS', 'DevOps', 'ML']"
151080,
161246,['Spring Framework']
135628,"['React', 'VueJS', 'CSS', 'HTML', 'Java', 'JavaScript', 'TypeScript', 'Spring Framework', 'Kubernetes']"
120544,
140403,"['GraphQL', 'MongoDB', 'MySQL', 'Oracle', 'Redis']"
118173,"['MongoDB', 'Python', '금융', 'API', 'NoSQL', 'ElasticSearch', 'API 개발']"
159548,"['Python', 'C++', 'API', 'ORM', 'ROS', 'Restful API']"
147092,['React']
75864,"['Git', 'MySQL', 'CSS', 'JavaScript', 'Kotlin', 'ObjectiveC', 'Swift', 'C++', 'jQuery', 'HTML5', 'CSS3']"
160407,"['Git', 'JavaScript', 'PostgreSQL', 'Kubernetes', 'Nest.js', 'Vue.JS']"
150696,
150247,"['Android', 'Java', 'Kotlin', '안드로이드 개발', 'Flutter']"
143287,
81207,
163272,"['Github', 'Django', 'Firebase', 'Python', 'Google Analytics', 'AWS', 'Flutter']"
