title,company,qualifications,preferred,skills
PHP 웹개발자,리얼비즈,"? 3년이상의 유관 경력
? PHP Framework(Codeigniter, Laravel 등) 개발경험
? RDBMS(Oracle, Mysql, Postgresql 등) 개발경험
? Javascript(jQuery, Vue), CSS등 프론트엔드 개발이 가능한 분
? 서비스 기획 및 개발 과정에 대한 이해도","? 프로덕트 서비스 출시부터 운영까지 경험이 있으신 분
? 논리적이고 윤리적인 커뮤니케이션과 업무태도를 지니신 분
? 비개발부서와 적극적이고 원활한 커뮤니케이션이 가능한 분",
ARM 기반 시스템 하드웨어 담당자(5년 이상),유브릿지,■ 관련 분야 경력 5년 이상,■ 업무 개발 관련 교육 이수 및 경력 사항,
그로우맵스 앱 개발자,프리그로우,"? 그로우맵스의 기술적 ‘성장’을 함께 할 다수의 경력을 보유한 앱 개발자님

? Android, iOS, Flutter 등의 코드 개선과 리뷰를 리딩(leading)할 수 있는 개발자님

? Notion 등 협업Tool 기반으로 동료와의 원활한 의사소통이 가능하신 개발자님

? 프리그로우는 ‘성장’에 집중합니다. 프리그로우의 ‘성장’ 문화에 동감하시는 개발자님","? 실내 위치 측위 서비스에 대한 관심과 이해가 있으신 개발자님

? 센서 데이터 기반 위치 측위 알고리즘을 설계해보신 개발자님

? CrossPlatform인 Flutter를 사용해보신 개발자님

? 다른 개발자와의 협업 및 코드 리뷰 경험이 있으신 개발자님

? 빠르게 ‘성장’하고 변화하는 환경에서 ‘효율’적으로 업무 수행이 가능하신 개발자님",
블록체인 Back-end 개발자,라디우스랩스,"? RESTful API 설계 및 개발 경험이 있으신 분
? 테스트 코드를 적극적으로 작성하시는 분
? Git flow 형상관리에 익숙하신 분
? 리눅스 환경에 익숙하신 분
? 비대칭키, Hash 등 기초적인 암호학에 대한 이해가 있으신분

? 효과적인 의사전달 및 협업 능력이 있으신 분
? 새로운 배움을 통해 끊임없이 성장하는 것을 즐기는 분
? 논리적이고 체계적인 문제해결 능력이 있으신 분

? 기술 스택
? ZK-Rollup에 필요한 기능을 개발: Rust
? DB: Neo4j, PostgresSQL
? 기반 기술: Git, AWS, Docker, Linux","? 확장 가능한 웹 서비스를 위한 백엔드 디자인 및 개발을 할 수 있으신 분
? 블록체인을 활용한 서비스 개발에 경험이 있으신 분
? 스타크웨어 네트워크에 대한 관심과 이해를 가지신 분
? 암호학 관련 개발에 이해도가 있으신 분
? 보안 및 네트워크에 대한 이해를 가지신 분
? 오픈소스 contribution 경험이 있으신 분",
유니티 (Unity) 개발자 (신입/주니어),머플,"? 하나 이상의 프로그래밍 언어에 능숙(C# - 1순위, Java, Python, C++ 등)
? 1개 이상의 유니티 프로젝트 포트폴리오
? 명확한 의사소통 능력 및 오픈 마인드
? 신입 혹은 경력 모두 지원 가능","? (경력자 해당시) 유니티 엔지니어 업무 경력
? SW 개발 협업 경험(예: Github, Gitlab)
? 게임 개발 경험 (유니티가 아니어도 좋으며, 개발 규모를 따지지 않음)
? 게임 산업에 대한 관심도 있으신 분: 게임에 대한 배경 지식 및 게임 플레이 경험",
AppSuit Web 보안 솔루션앱 (앱수트팀),스틸리언,"ㆍWeb 개발 경험이 있으신 분  (경력자 우대)
ㆍ난독화, 무결성 검증에 대한 이해도가 있으신 분
ㆍjavascript 구조에 대한 이해도가 높으신 분
ㆍ해외 여행 결격 사유가 없으신 분","ㆍjavascript Obfucation, Uglfy 등 난독화 솔루션 사용 및 개발 경험이 있으신 분
ㆍ앱 보안에 대한 이해도가 있으신 분
ㆍ병역특례 전문연구요원의 경우, 신입도 지원 가능",
백엔드개발(비더),퍼포먼스바이티비더블유에이(PTBWA),"- 국내외 4년제 학사 이상 혹은 졸업예정자
- C# 또는 Java 개발 7년 이상 경력자
- AWS Cloud Infra 에 대한 이해가 있는자
- 포트폴리오 제출 필수(Github 대체 가능)","- 컴퓨터 관련학과 수료자
- 광고관련 송출, 연동, 트래킹 시스템 구축 경험자
- Java 또는 Python 활용 가능자",
Windows TCP Server 개발자(C# or C+),스파이더크래프트,"- Windows 혹은 Linux TCP/IP Socket 서버 개발 혹은 관리 경험이 있으신분 
- IOCP 개발 경험이 있으신 분
- 클라우드 서버관리 및 운영 경험이 있으신분
- 서버 운영 및 서버 프로그램 개발에 관심 있으신 분","- 기존 코드에 대한 이해가 빠르고, 문제 해결 능력과 다른 파트와의 원활한 협업이 가능하신 분",
Windows Client 개발자,스파이더크래프트,"- Winform 혹은 WPF 개발 경험자
- C# UI Library 이용한 개발 경험이 있으신 분
- USB, Serial 통신 대한 경험이 있으신 분","- 기존 코드에 대한 이해가 빠르고, 문제 해결 능력과 다른 파트와의 원활한 협업이 가능하신 분",
백엔드 엔지니어,리드넘버,"? 백엔드 개발 기술에 대해서 익숙하게 사용 가능하신 분
? 클라우드 환경에서 제품 또는 서비스를 개발하고 배포한 경험이 있으신 분
? 주어진 비즈니스에 대한 이해가 빠르고, 이에 필요한 시스템의 설계가 가능하신 분
? 협업을 통해 제품 또는 서비스가 만들어지는 과정을 경험이 있으신 분
? 동료에게 필요한 지식을 전파하고 협업을 즐기는 분","? Kotlin/Spring/JPA 에 대한 이해가 깊으신분
? 백엔드 엔지니어링 역량(OOP/TDD/Refactoring/Pair Programming)을 보유하신 분
? Redis와 Kafka를 사용한 경험을 보유하신 분
? AWS, GCP를 통한 서비스 배포 및 운영 경험이 있으신 분
? Infrastructure as Code(Kubernetes, Terraform, etc…)를 능숙하게 사용하시는 분
? 대용량 시스템을 개발하고 운영해본 경험이 있는 분
? 변화를 두려워하지 않고 새로운 기술을 학습하며 꾸준히 성장할 수 있는 분",
Senior Software Engineer (Media C/C++),럭스소프트코리아,"? Extensive experience in GStreamer at an expert level
? C/C++
? Yocto experience
? Deep understanding of audio/video architecture based on Linux
? Media framework/application development
? Experience with audio/video encoder, decoder, demuxer, color format, and media container","? Debugging skills (Strace, GDB, Valgrind, Heaptrack, ...)
? Experience in architecture design
? Experience and knowledge of media containers(MP4, AVI, MKV, ...) and media codecs(H.264, AAC, MP3, ...)
? Understanding multi-thread and event loop software architecture
? Experience multimedia frameworks(GStreamer, FFmpeg) and multimedia framework pipeline",
JAVA 개발자,미르이즈,"? 학력 : 대졸(2~3년)이상
? 경력 : 6년 이상 (대리 이상 )부터, 중급이상
? 기술정도
  - Java, JavaScrip, JSP
  - Oracle
  - Framework","? Proworks / WebSquare 경험자
? 고급/특급 - PM, PL 유경험자",
서비스 플랫폼 개발자 (3~5년),에피카,"? 웹 서비스 개발 관련 경력 ***3년 이상 5년 이하***
? 프론트 엔지니어링을 위한 Vue, React 등의 테크스택을 보유하신 분
? 백엔드 엔지니어링을 위한 Java (Spring Boot), Node.js 등의 기술스택을 보유하신 분
? 적극적이고 주도적으로 문제 해결을 해보신 경험이 있는 분
? 새로운 기술에 대한 적극적인 학습 태도","? Spring Boot 기반 MSA 및 유사 기술스택 기반의 설계/구축 경험이 있으신 분
? NoSQL-MongoDB Atlas 사용 경험이 있으신 분
? Product Manager/Owner 수행 경험이 있으신 분
? Mobile (iOS, Android) Navtive App 개발 경력이 있으신 분
? AWS, Azure 또는 유사한 최신 클라우드 컴퓨팅 활용 역량을 보유하신 분
? 애자일 환경에서 대규모로 작업할 수 있는 역량을 보유하신 분
? 스타트업 경험 또는 역량을 보유하신 분",
Java 개발자(3년 이상),한국해양기상기술,"? Java, Spring framework(Boot) 기반의 웹 프로젝트 개발 경력
? Oracle, Postgresql, Mysql, Mariadb 등 DBMS 지식을 보유 하신 분
? 하나 이상의 웹 프로젝트를 수행해 보신 분","? 2D/3D 공간 정보에 대한 이해가 있으신 분
? Geoserver, QGIS, Openlayers, Cesium, GDAL 경험이 있으신 분
? DDD, Agile, JPA, React, Docker, MSA, Kafka, Elastic Search 경험이 있으신 분 
? 클라우드 기반 서비스(AWS, Azure, …) 서비스 환경에서의 개발 경험",
Cloud Native 엔지니어,아콘소프트,"- 자격요건

? 학력 : 전문학사(초대졸) 이상
? 신입 : 2023년 03월 이전 졸업자
? 경력 : 동종 업종 경력 2년 이상

- 기술스택

? LINUX OS 및 Network에 대한 기본 지식이 있는자
? Shell Script 사용이 가능한 자
? Office 사용이 능숙한자
? DB(RDBMS) DML/DDL에 대한 지식이 있는자.
? Hypervisor 및 Container에 대한 지식이 있는자.
? 기술지원에 대한 긍정적이고 적극적인 마인드 소유자","? Public Cloud(AWS, GCP, Azure) 자격증 소지자
? CKA 자격증 소지자
? Python에 대한 이해 및 개발이 가능한 자
? APM 및 기타 Opensource에 대해 이해를 하고 있는자.
? 영문 IT기술문서 이해에 어려움이 없는자.",
Senior Back End Developer,부민병원,"? Spring Boot 기반 백엔드 개발 경험 5년 이상
? Docker, AWS 사용에 익숙한 분
? Computer Science 관련 학과 학사 학위 이상 보유자","? Hadoop, Spark, Elasticsearch, NoSQL 등 빅데이터 솔루션 사용 경험
? 클린코드 방식의 개발을 선호하시는 분
? 프로그래머스, 해커랭크, 리트코드 등에서 중급 이상의 문제를 다수 풀어보신 분
? 협업 도구(Jira, Confluence, Slack, Git) 사용에 익숙하신 분
? 의료 정보 기술 관련 업무 경험
? 잘 알려진 Open Source에 커밋을 해보신 분",
게임 백엔드 엔지니어,나인코퍼레이션,"? 학력 및 성별 무관
? 관련 경력 2년 이상 및 그에 준하는 경력

[요구 사항]
Python 또는 C# 능숙하게 사용
프로젝트 자동화 경험
테스트 시나리오 설계 및 구현 경험
웹 백엔드 아키텍쳐 경험
Kubernetes 사용 경험","? CI 사용 경험
? ORM (e.g., SQLAlchemy, Entity Framework Core) 사용 경험
? 마이크로 서비스 아키텍쳐(MSA) 설계 경험",
임베디드 리눅스 C/C++ SW 개발/기술지원,넥스버(Nexber),"? Linux 기반 C/C++ 개발, 경력 3년
? 초대졸 이상","임베디드(Linux OS) 관련 개발 또는 프로젝트 진행 경험자
임베디드 카메라 관련 SW 사용 / 개발 경험자
gcc, g++ 컴파일 환경 개발 경험자 
컴파일러에 대한 이해 및 makefile 작성
Qt Framework 사용 경험자",
기술연구소 프로그램 개발 및 개발 지원 (C++),넥스버(Nexber),"ㆍ학력 : 초대졸이상 

ㆍ경력 : 3년 이상

ㆍC 관련 언어 이해

ㆍ운전면허 소지자","ㆍ비전 검사 개발 경험자(OpenCV, MIL, HALCON 등)

ㆍPC기반 모션 제어 가능자

ㆍ관련 학과(공학 계열) 전공자

ㆍ영상 처리 라이브러리 사용 가능자

ㆍ기본 영상 처리 및 PC기반 비전 시스템에 대한 전반적인 이해",
Tech Lead (Web Application),스누아이랩,"? 컴퓨터공학 및 전기전자공학 관련 전공자
? 5년 이상 소프트웨어 엔지니어로서 근무한 경험 혹은 그에 준하는 역량 보유자
? 데이터베이스를 이용한 개발 경험 (Spark, Kafka, MongoDB, PostgreSQL, SQLite 등)
? AWS 등 클라우드 컴퓨팅 솔루션 경험","? SW 제품 또는 서비스 출시 경험 (python, c++, c#)
? 컴퓨터 비전 플랫폼 활용 경험 (Deepstream, openCV 등)
? 머신러닝 파이프라인 개발 및 운영 경험 (k8s, Kubeflow, MLflow 등)
? 머신러닝 모델 학습 및 구현 경험 (pytorch 등)",
정보보안 담당자,챔프스터디,"? 퍼블릭 클라우드 및 네트워크/시스템/어플리케이션 등 전반적인 운영 관련 실무 경험
? 오픈소스 기반 기술을 통한 보안 인프라 환경 구성 경험","? 정보보호관리체계(ISMS) 기술적 보안 대응 경험 및 유관 법령에 대한 이해가 있으신 분
? 논리적 사고 및 원활한 커뮤니케이션이 가능한 분",
사이버보안 소프트웨어 서버/백엔드 개발자(5년 이상),디에스랩컴퍼니,"?  전문학사 또는 학사 이상을 졸업하신 분
?  서버(백엔드) 개발 경력 5년 이상의 경험을 갖추거나 그에 준하는 실력을 갖추신 분","?  JAVA를 활용한 시스템 설계 및 프로그래밍에 익숙하신 분
?  해양 또는 사이버보안 관련 지식을 수학하셨거나, 자격을 갖추신 분
?  스타트업 근무 경험이 있으신 분(ZEROtoONE)",
ASP.NET 서버개발자,이웃닷컴(e알리미),"ㆍ학력 : 초대졸이상

ㆍ경력 : 경력 4년 ~ 6년

ㆍ.Net, ASP.NET, ASP.NET MVC 개발 가능자","ㆍ자녀가 있으신 학부모님 

ㆍ교육에 관심있고, 아이들의 건강하고 올바른 성장을 돕고 싶으신 분 

ㆍ학교 관련 서비스, WEB 기반 유관업무 경력자

ㆍAPP 개발 관련 기본 지식 보유자 

ㆍ즉시출근 가능자

ㆍ장기근무 가능자",
AWS(Devops) 엔지니어(전문연구요원/전직 가능),씨알에스큐브(CRScube),"? 아래의 경험을 2년 이상 보유하신 분
1) AWS 기반의 서비스 운용 경험
2) Docker/Container 기반 서비스 환경 경험
3) Terraform으로 서비스 환경 운영 경험
? 전문연구요원의 경우, 편입요건을 갖추신 분","? 컴퓨터/시스템 공학 전공(학점 우수자)
? APM(RUM) 업무 수행 경험
   - Pinpoint, ELK, Raygun
? Python 등의 스크립트 언어 프로그래밍",
인생네컷/포토드링크 Windows Application 개발자,엘케이벤쳐스,"- 2년 이상 C#, WPF 개발 능력을 보유한 분

- MVVM Pattern 및 XAML로 UI 개발에 대한 이해가 있으신 분

- 팀과 함께 성장하기를 원하시는 분","- WPF 상용 서비스 개발, 배포 및 운영 경험이 있으신 분

- UI Library(Dev Express, Teleric 등) 없이 Custom Control 개발 가능하신분

- DB, 네트워크 관련 프로그래밍에 관심이 있으신 분

- Git 등 분산 버전 관리 시스템을 사용해 보신 분

- 영상처리 관련 경험이 있으신 분

- WPF 외 Winform, Web 등 다양한 IT 기술에 대하여 관심이 있으신 분",
"네이티브 앱 개발자(React Native, 3년 이상)",물류대장,"? React 또는 React-Native 개발 경험 또는 경력 3년 이상, 또는 이에 준하시는 역량을 갖추신 분(신입 지원가능)
? React, State 관리 등 기본 지식을 갖추신 분
? Modern JavaScript(ES6) 문법에 익숙하신 분
? RESTFul API 연동에 경험이 있거나 이에 이해하시는 분
? Mobx, Redux 등 State 관리 라이브러리를 활용한 개발 및 운영 경험이 있으신 분
? 모바일 UI/UX에 대한 이해가 있으신 분","? React-Native를 사용한 하이브리드 마켓 출시 경험 및 개발 경험이 있으신 분
? 사용자 중심의 UI/UX 개발을 수행해본 경험이 있으신 분
? 앱 테스트 및 배포 자동화에 경험이 있으신 분
? 다른 개발자와 협업 프로세스 구축 경험이 있으신 분
? CodePush 등을 이용한 효율적인 배포 관리 경험이 있는 분
? Slack, Git 환경에서 업무하는데 익숙하신 분",
Senior Front End Developer,부민병원,"? 웹 프론트엔드 개발 경력 5년 이상
? React 또는 Vue.js 개발 경력 2년 이상
? TypeScript 를 사용한 개발
? Computer Science 관련 학과 학사 학위 이상 보유자
? 최신 웹 프레임워크 및 라이브러리를 적극적으로 파악하며 스스로 성장이 가능한 분","? 고객을 위한 주요 디자인 원칙에 대한 이해를 보유하신 분
? 프로그래머스, 해커랭크, 리트코드 등에서 다수의 문제를 풀어보신 분
? 협업 도구(Jira, Confluence, Slack, Git) 사용에 익숙하신 분
? 의료 정보 기술 관련 업무 경험",
리더급 3D 개발자,평행공간,"? Computer Graphics에 대한 전문적인 이해가 있으신 분
? Unity(C#) 개발 경력이 3년 이상이신 분
? 네트워크를 통하여 서버와 통신에 대해 이해가 높으신 분
? 작동확인 가능한 Unity 작업물 포트폴리오 제출 부탁드립니다. 
? scan을 통한 포인트클라우드에 대해 이해도가 높고 다룰 수 있으신 분
? Unity 3D를 모바일앱에 연동 가능하신 분
? VR과 AR에 대한 이해와 사업화에 대한 직간접적인 경험이 있으신 분 
? 주니어 개발자로 이루어진 개발팀을 리드하실 수 있으신 분
? 기술문서 작성에 능숙하신 분
? 해외여행 결격 사유 없는 분

[필수 제출 서류]
? 포인트클라우드를 사용하여 수행한 프로젝트 설명서
? 작업물을 확인할 수 있는 포트폴리오 
? 직접 구현한 프로젝트 소스 링크 (Github or else )
? 경력증명서",,"['Git', 'Linux', 'MongoDB', 'JavaScript', 'Node.js', 'Python', 'SQL', 'TypeScript', 'NoSQL', 'Docker', 'RESTful WebServices', 'RESTful Architecture']"
