id,qualification,preferred,skills
157552,"['설계', '데이터 분석', 'TABLEAU', 'PYTHON', '데이터 시각화', 'SQL']",['GOOGLE ANALYTICS'],"['Git', 'Github', 'Android', 'Google Cloud Platform', 'iOS', 'MySQL', 'React', 'C / C++', 'HTML', 'Java', 'JavaScript', 'Kotlin', 'Node.js', 'Python', 'Google Analytics', 'AWS', 'SQL 서버', 'NodeJS', 'Spring Framework', 'GCP', 'Google Apps', 'Android Studio']"
94531,['개발'],"['컴퓨터 공학', '설계', '신호 처리', 'MATLAB', '머신 비전']",
86141,"['개발', 'API', 'REST', 'HTML', '최적화', 'VUEJS', 'JAVASCRIPT', 'CSS']","['최적화', 'CSS']",
70898,"['시스템 구축', '인프라', 'PYTHON', 'GO', '관리', 'LINUX']","['GIT', 'AWS', '시스템 구축', 'JENKINS', 'VPN', '관리']",
139983,"['DOCKER', '보안', '인프라']","['DOCKER', 'KUBERNETES', '인프라']","['Node.js', 'Rust', 'Go', 'NoSQL', 'Docker', 'RDBMS', 'Golang', 'Kubernetes', 'Nest.js', 'Restful API']"
95229,"['설계', '가상화']","['RHEL', '가상화', 'UBUNTU', 'CENTOS']",
124088,[],"['개발', 'ROS', '신호 처리', '로봇']",
119829,"['SCALA', '개발', 'GCP', 'JAVA', 'EMR', 'AWS', 'PYTHON', 'SQL', 'AZURE']","['설계', 'APACHE', 'SPARK']",
157181,"['컴퓨터 공학', '자동차', 'PYTHON']",[],"['Git', 'Linux', 'C / C++', 'JavaScript', 'Python', 'Docker']"
162013,"['개발', 'TYPESCRIPT', 'HTML', 'JAVASCRIPT', 'REACT', 'CSS']","['개발', 'AWS', 'MONGODB', 'NODEJS']","['MongoDB', 'Node.js', 'AWS', 'React.js', 'Next.js', 'Nest.js']"
126275,"['개발', 'API', '서버', 'HTML', 'REST', 'JQUERY', 'JAVASCRIPT', 'CSS']","['CONFLUENCE', 'SPA', 'GIT', 'ANGULAR', 'JIRA', 'REACT']",
131617,"['개발', 'JAVA', 'C']","['NFC', 'ISO', '개발']","['Java', 'C', 'Embedded C']"
159531,"['설계', 'PYTHON', 'ML', 'PYTORCH']","['설계', '개발']",
109963,[],['C'],
164986,"['REACT', 'REACT NATIVE', 'NODEJS', 'PHP']","['개발', '관리']","['React', 'Node.js', 'PHP', 'React Native']"
51691,"['개발', 'API', 'REDUX', 'REST', 'REACT', '관리']","['OAUTH', 'AWS']","['Linux', 'MySQL', 'React', 'Redis', 'Node.js', 'Blockchain', 'AWS']"
141069,[],[],"['Git', 'JavaScript', 'Node.js', 'SQL', 'AWS']"
161355,"['개발', '최적화']","['TYPESCRIPT', 'AWS', '최적화', 'FIGMA', 'REACT', 'GITHUB']","['Github', 'JIRA', 'Slack', 'TypeScript', 'AWS', 'React Native', 'Figma']"
152870,"['개발', '서버', 'SPRING BOOT', '설계', 'JAVA', '웹 개발', '데이터베이스', 'API 개발', 'RDBMS', 'REST']","['VUEJS', '개발', 'JPA', 'DEVOPS']","['C#', 'Delphi', 'Kotlin', 'C', 'MFC']"
149485,"['개발', '서버', 'VR', '통신', '3D', 'AR', '기술 문서', 'GITHUB']",[],"['Git', 'Linux', 'MongoDB', 'JavaScript', 'Node.js', 'Python', 'SQL', 'TypeScript', 'NoSQL', 'Docker', 'RESTful WebServices', 'RESTful Architecture']"
123285,[],['개발'],"['Hadoop', 'Spark', 'Python', 'R']"
137203,"['알고리즘 개발', '소프트웨어 개발', '영상', '의료 영상']","['개발', '영상', '의료 영상']","['Git', 'HTML', 'JavaScript', '소프트웨어 개발', '웹 개발', '수학', '컴퓨터 비전', '의료 영상', '프론트엔드 개발자']"
142139,['개발'],"['개발', '차량', '반도체']","['Linux', 'Java', 'Python', 'C++', '검증', 'SoC', 'ASIC', 'RTL 설계']"
51646,"['개발', '데이터 분석', 'SQL', 'TENSORFLOW', 'PYTHON', 'PYTORCH', 'EDA', 'NLP', 'R']","['모델링', '개발', 'GCP']",
160850,"['개발', 'API', 'RESTFUL API', 'HTML', '설계', 'RDBMS', 'JSP 개발', 'CSS', 'PHP']","['LARAVEL', 'CODEIGNITER', 'AWS']","['MySQL', 'CSS', 'HTML', 'JavaScript', 'PHP', 'AWS', 'Laravel', 'CodeIgniter']"
158205,"['개발', '분석 능력', 'C']","['개발', '반도체']","['C#', 'GUI']"
157215,[],[],"['JavaScript', 'Jenkins', 'React Native']"
161854,"['TENSORFLOW', 'PYTHON', '개발']","['알고리즘 개발', '임베디드 시스템', 'LINUX', 'ROS']","['Git', 'Java', 'Python', 'Jenkins', 'Spring Framework', 'JPA', 'Kubernetes']"
69590,"['개발', 'TYPESCRIPT', 'NODEJS', '설계', '최적화']",['개발'],"['Git', 'Java', 'AWS', 'NodeJS', 'Spring Framework']"
165155,"['개발', 'TCP', '컴퓨터 공학', 'C', 'UDP', 'CAN', 'PYTHON', 'ROS']","['개발', '하드웨어', 'GIT', '시스템 구축', '3D']","['Git', 'Github', 'Unreal Engine', 'C#', 'Python', 'C++', 'CAN', 'ROS', 'Unity3D']"
164250,"['설계', 'SLACK']","['NOTION', 'API', 'RESTFUL API', '검증']",
106250,['KOTLIN'],"['개발', 'HILT', 'GIT', 'COROUTINE', '관리']","['Git', 'iOS', 'Swift']"
126588,"['JAVASCRIPT', 'CSS', 'HTML']","['개발', 'NODEJS', 'HTML', 'GIT', 'JAVASCRIPT', 'CSS', 'REACT']","['Git', 'Github', 'Android', 'iOS', 'React', 'JavaScript', 'Kotlin', 'Python']"
142975,"['개발', 'REACT']",[],"['MATLAB', 'C#', 'Java', 'C', '소프트웨어 개발', 'C++']"
155144,"['GIT', '관리', 'RESTFUL API']",['개발'],"['Azure', 'AWS', 'NoSQL', 'Docker']"
29390,[],"['GCP', 'AWS', 'TDD', '클라우드 컴퓨팅', 'AZURE']",
120910,['개발'],"['GITHUB', 'KOTLIN', 'TYPESCRIPT', 'REDMINE', 'GIT', 'NOTION', 'ASANA', 'REDUX', 'SLACK']",
124497,['보안'],"['보안', '관리', 'GITHUB']","['React', 'C#', 'Java', 'JavaScript', 'TypeScript', 'Unity3D']"
129518,"['개발', '웹 개발', 'TYPESCRIPT', 'REDUX']","['개발', '최적화', 'AWS', 'REACT NATIVE']","['Git', 'Github', 'Slack', 'Trello', 'Android', 'ExpressJS', 'iOS', 'React', 'PHP', 'TypeScript', 'AWS', 'Bootstrap', 'React.js', 'React Native', 'Notion']"
158118,['개발'],['관리'],"['MySQL', 'HTML', 'Java', 'JavaScript', 'Kotlin', 'PHP', 'SQL', 'AWS', 'Windows 서버', 'IT 운영', '네트워크 관리', 'IT 관리', '서버 관리']"
151358,"['LINUX', '서버 관리']","['서버', '가상화', 'LINUX', '인프라']",
82178,"['개발', 'IOS', 'C', 'GIT', 'SWIFT', '수학', '암호화', 'MVC', 'HTTP']",[],
149835,"['개발', 'SPRING BOOT', 'RESTFUL API', 'JAVA', 'JIRA', '관리', 'SLACK']",['개발'],"['Azure', 'Java', 'JavaScript', 'Kotlin', 'Python', 'AWS', 'Go', 'GCP', 'Kubernetes']"
163297,"['개발', 'API', 'POSTGRESQL', '보안', 'DOCKER', '설계', '데이터베이스', 'ORACLE', 'JAVA', 'RDBMS', 'REDIS', 'NOSQL', 'PYTHON', 'HTTP']","['개발', 'GCP', 'AWS', '인터페이스', 'AZURE']","['Java', 'Python', 'Docker']"
144229,"['AWS', 'ANDROID', 'QT', 'MYSQL', 'PYTHON', 'LINUX']",[],"['Github', 'Linux', 'C / C++', 'Python', 'AWS', 'Docker', 'Embedded C']"
140536,"['개발', 'API', 'JAVA', '리팩토링', 'API 개발', 'RDBMS', 'SPRING FRAMEWORK', 'JQUERY', 'JAVASCRIPT']","['알고리즘 개발', '개발']","['Git', 'VueJS', 'CSS', 'HTML', 'Java', 'JavaScript', 'jQuery', 'SVN', 'Eclipse', 'Spring Framework', 'MSSQL', 'Visual Studio Code']"
141105,"['SQL', 'JAVASCRIPT', 'LINUX', 'PHP']","['개발', '서버', 'GIT', 'DOCKER', 'JAVA', 'PYTHON', 'REACT']","['HTML', 'JavaScript', 'CSS 자바 스크립트']"
138923,"['개발', 'IOS', 'ANDROID', 'FLUTTER']","['개발', 'RX', 'REACT NATIVE', '3D']","['Node.js', 'Rust', 'Go', 'NoSQL', 'Docker', 'RDBMS', 'Golang', 'Kubernetes', 'Nest.js', 'Restful API']"
146094,"['SCM', 'AGILE', 'ISO', 'DEVOPS']","['관리', 'PMP', 'ITIL']","['Python', 'SQL', 'Tableau', 'AWS', 'Spring Framework', 'ML']"
157577,"['개발', 'REACT NATIVE']","['개발', 'REACT', 'REACT NATIVE', 'DEVOPS']",
142780,"['JIRA', '개발', 'API', 'GIT', 'REST', 'REACT']","['개발', 'NODEJS', 'REACT NATIVE', 'HTML5', 'CSS']",
108624,"['개발', 'JAVASCRIPT', 'HTML']","['ZEPLIN', 'SVN', 'GIT', 'VUEJS', 'JIRA']","['VueJS', 'Python', 'SQL', '리팩토링', '백엔드 개발', 'Spring Boot']"
139549,"['개발', 'VUEJS', 'HTML5', 'CSS', 'PHP']","['LARAVEL', '개발', 'PHP']",
123788,"['개발', 'KOTLIN', 'CONFLUENCE', 'RESTFUL API', 'GIT', '소프트웨어 개발', 'JAVA', '설계', 'ANDROID', 'MVC', 'MVVM', 'JIRA', '관리']","['개발', 'IOS', 'COROUTINE']","['Confluence', 'GitLab', 'JIRA', 'Linux', 'SQL', '인프라', 'AWS', 'DevOps', 'ITIL', 'Docker', '시스템 관리', 'VPN', '네트워크 운영', 'IT 운영', 'IT 관리']"
75585,[],"['개발', 'POSTGRESQL', 'NODEJS', 'C', 'AWS', 'ANDROID', 'MYSQL', 'SQL', 'REACT', 'CSS']","['.NET', 'MySQL', 'C#', 'Node.js', 'MSSQL']"
154831,"['개발', '데이터 분석']",[],"['Slack', 'Android', 'iOS', 'MySQL', 'React', 'HTML', 'JavaScript', 'Python', 'SQL', 'Google Analytics', 'AWS', 'Figma', 'Flutter', 'Notion']"
155481,"['개발', 'KOTLIN', 'ANDROID']","['개발', 'KOTLIN', 'GRAPHQL', 'ANDROID', 'API 개발']","['JavaScript', 'Jenkins', 'React Native']"
113092,[],['SAP FICO'],
117756,[],"['최적화', 'REDIS']",['Python']
151566,"['개발', 'API', 'SPA', 'HTML', 'REDUX', 'REACT', '관리', 'CSS']","['개발', 'TYPESCRIPT', 'GITLAB', '웹사이트', 'JAVASCRIPT', 'SLACK']",
139209,"['VUEJS', '개발', '관리', 'GIT']","['설계', 'JIRA', 'CONFLUENCE', '개발']",
123357,['개발'],"['개발', '관리', '서버 관리']",['ORCAD']
